序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,601026,N道生,29.68,396.32,23.7,853286.0,2301298492.0,99.33,30.0,24.06,24.77,5.98,,79.61,95.63,7.39,19570992000.0,3181212691.0,0.2,3.7,396.32,396.32
2,300389,艾比森,20.1,20.0,3.35,268258.0,510887477.61,19.7,20.1,16.8,17.11,16.75,3.31,11.5,31.94,4.99,7418916372.0,4686944552.0,0.0,0.0,72.83,73.88
3,300300,海峡创新,5.83,19.96,0.97,1226077.0,692365024.17,20.99,5.83,4.81,4.83,4.86,5.41,18.39,362.15,23.74,3887718371.0,3887470888.0,0.0,0.0,19.22,102.43
4,920225,利通科技,31.0,15.46,4.15,166090.0,485720042.27,18.32,31.5,26.58,26.58,26.85,1.44,20.06,37.34,5.61,3934485714.0,2566246774.0,1.97,2.21,60.79,210.0
5,301617,博苑股份,94.5,13.07,10.92,110733.0,996066587.07,14.78,97.95,85.6,87.79,83.58,1.59,33.14,63.76,7.51,12628980000.0,3157245000.0,-0.15,0.78,139.73,143.93
6,301365,矩阵股份,26.03,11.53,2.69,231360.0,581893796.29,20.44,27.99,23.22,23.81,23.34,2.16,49.92,57.85,2.77,4685400000.0,1206490500.0,-1.96,-2.51,47.65,81.65
7,300539,横河精密,54.97,11.05,5.47,265438.0,1432725423.08,12.87,56.38,50.01,50.01,49.5,1.42,15.38,272.75,12.8,14737493390.0,9484305294.0,0.22,0.31,282.53,424.02
8,688098,申联生物,11.43,10.65,1.1,319605.0,367515225.0,17.52,12.36,10.55,10.56,10.33,5.88,7.78,-182.35,3.36,4693660920.0,4693660920.0,-0.17,0.0,78.04,108.96
9,002004,华邦健康,5.01,10.11,0.46,1562217.0,776631293.63,5.49,5.01,4.76,4.84,4.55,7.83,8.3,12.77,1.06,9919395147.0,9426913339.0,0.0,0.0,18.44,15.97
10,002678,珠江钢琴,5.12,10.11,0.47,876304.0,442272800.99,11.61,5.12,4.58,4.63,4.65,7.22,6.45,-25.25,2.09,6954600054.0,6950781174.0,0.0,0.0,2.2,14.54
11,000592,平潭发展,3.71,10.09,0.34,2970350.0,1084697025.8,9.5,3.71,3.39,3.42,3.37,2.06,15.51,237.54,3.77,7166907109.0,7104992986.0,0.0,0.0,22.85,29.27
12,002108,沧州明珠,4.26,10.08,0.39,1407916.0,599372453.68,1.81,4.26,4.19,4.26,3.87,2.98,8.54,42.84,1.41,7094581200.0,7022029388.0,0.0,0.0,16.08,22.06
13,002490,山东墨龙,6.78,10.06,0.62,1047973.0,683813284.52,11.69,6.78,6.06,6.16,6.16,1.65,19.35,222.36,10.72,5409412152.0,3672875160.0,0.0,0.0,22.38,143.88
14,000626,远大控股,9.76,10.03,0.89,542916.0,524887547.1,4.74,9.76,9.34,9.34,8.87,2.24,10.78,85.06,2.08,4944678193.0,4916273245.0,0.0,0.0,35.93,69.74
15,605303,园林股份,18.87,10.03,1.72,153062.0,274369087.0,12.01,18.87,16.81,17.2,17.15,1.27,9.49,-20.44,3.19,3042549889.0,3042549889.0,0.0,0.0,35.37,148.94
16,002017,东信和平,26.36,10.02,2.4,575742.0,1482419235.64,10.64,26.36,23.81,24.1,23.96,1.17,9.93,95.07,8.8,15300185121.0,15291063850.0,0.0,0.0,46.12,158.18
17,603101,汇嘉时代,11.86,10.02,1.08,368185.0,432910537.0,10.02,11.86,10.78,10.89,10.78,1.59,7.83,41.6,3.97,5578944000.0,5578944000.0,0.0,0.0,49.18,27.8
18,603313,梦百合,9.33,10.02,0.85,269149.0,246304778.0,10.14,9.33,8.47,8.48,8.48,2.64,4.72,23.24,1.42,5323575637.0,5323575637.0,0.0,0.0,7.49,39.25
