序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收
1,CNYRUBC,人民币卢布中间价,11.2477,0.2064,1.87,11.2477,11.2477,11.2477,11.0413
2,JPYZAR,100日元兑南非兰特,11.6569,0.1291,1.12,11.5273,11.6796,11.5182,11.5278
3,CHFZAR,瑞郎兑南非兰特,22.112,0.2371,1.08,21.8479,22.1442,21.8118,21.8749
4,JPYAUD,100日元兑澳元,1.033,0.0081,0.79,1.0252,1.0389,1.0245,1.0249
5,USDRUB,美元兑俄罗斯卢布,81.124,0.6222,0.77,80.502,81.3817,80.4435,80.5018
6,CHFAUD,瑞郎兑澳元,1.9594,0.0143,0.74,1.9435,1.9693,1.9417,1.9451
7,JPYTRY,100日元兑土耳其里拉,28.0134,0.201,0.72,27.8829,28.0825,27.8355,27.8124
8,EURZAR,欧元兑南非兰特,20.4139,0.1457,0.72,20.2593,20.4586,20.2541,20.2682
9,USDZAR,美元兑南非兰特,17.4553,0.1127,0.65,17.3388,17.486,17.3164,17.3426
10,GBPZAR,英镑兑南非兰特,23.448,0.1488,0.64,23.2847,23.4592,23.2763,23.2992
11,USDTHB,美元兑泰铢,32.6751,0.1851,0.57,32.4965,32.6999,32.46,32.49
12,USDMXN,美元兑墨西哥元,18.5342,0.1022,0.55,18.4316,18.5526,18.4173,18.432
13,CHFCNYC,瑞士法郎人民币中间价,8.9643,0.048,0.54,8.9643,8.9643,8.9643,8.9163
14,JPYCNYC,100日元人民币中间价,4.7324,0.0247,0.52,4.7324,4.7324,4.7324,4.7077
15,JPYSGD,100日元兑新加坡元,0.8644,0.0043,0.5,0.8602,0.8665,0.8599,0.8601
16,JPYCNH,100日元兑离岸人民币,4.7595,0.0233,0.49,4.7368,4.7738,4.7355,4.7362
17,JPYGBP,100日元兑英镑,0.4972,0.0024,0.49,0.4948,0.4983,0.4945,0.4948
18,CHFCNH,瑞士法郎兑离岸人民币,9.0287,0.0432,0.48,8.9819,9.0537,8.9774,8.9855
19,CHFSGD,瑞郎兑新加坡元,1.6399,0.0078,0.48,1.6312,1.643,1.6307,1.6321
20,CHFGBP,瑞郎兑英镑,0.9431,0.0043,0.46,0.9379,0.9449,0.9377,0.9388
21,EURSEK,欧元兑瑞典克朗,11.0667,0.0484,0.44,11.0166,11.0869,11.0095,11.0183
22,JPYUSD,100日元兑美元,0.6676,0.0029,0.44,0.6648,0.6693,0.6647,0.6647
23,CADAUD,加元兑澳元,1.1018,0.0047,0.43,1.0975,1.1036,1.0966,1.0971
24,CHFUSD,瑞郎兑美元,1.2668,0.0054,0.43,1.2602,1.2699,1.26,1.2614
25,JPYHKD,100日元兑港币,5.1872,0.0222,0.43,5.1669,5.2004,5.1652,5.165
26,JPYNZD,100日元兑新西兰元,1.1661,0.0048,0.41,1.162,1.1714,1.1602,1.1613
27,JPYEUR,100日元兑欧元,0.571,0.0023,0.4,0.5689,0.572,0.5683,0.5687
28,USDKRW,美元兑韩元,1422.9,5.6775,0.4,1416.86,1425.8825,1416.5275,1417.2225
29,CHFHKD,瑞郎兑港币,9.8403,0.0387,0.39,9.799,9.8673,9.7894,9.8016
30,CHFNZD,瑞郎兑新西兰元,2.212,0.0086,0.39,2.2027,2.2205,2.2014,2.2034
31,USDSEK,美元兑瑞典克朗,9.4628,0.0364,0.39,9.4282,9.4759,9.395,9.4264
32,EURCNYC,欧元人民币中间价,8.3074,0.0319,0.39,8.3074,8.3074,8.3074,8.2755
33,CHFEUR,瑞郎兑欧元,1.0832,0.004,0.37,1.0786,1.0847,1.0779,1.0792
34,EURAUD,欧元兑澳元,1.8089,0.0066,0.37,1.8018,1.8162,1.8014,1.8023
35,HKDAUD,港币兑澳元,0.1991,0.0007,0.35,0.1984,0.1998,0.1983,0.1984
36,NZDAUD,新西兰元兑澳元,0.8857,0.003,0.34,0.8823,0.8867,0.8823,0.8827
37,JPYCAD,100日元兑加元,0.9374,0.003,0.32,0.9344,0.9414,0.934,0.9344
