序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,124,VHSCEI,恒生国指波幅指数,31.82,3.48,12.28,29.3,32.55,29.27,28.34,0.0,
2,124,VHSI,恒指波幅指数,28.88,3.01,11.64,26.88,29.58,26.43,25.87,0.0,
3,124,HSTECF2S,恒生科技指期货2倍短仓指数,614.03,50.23,8.91,568.89,617.03,563.65,563.8,0.0,
4,124,HST2SI,恒生科指2倍短仓指数,131.77,9.88,8.11,122.09,132.89,122.09,121.89,0.0,
5,124,HSCEI2SI,恒生国企2倍短仓指数,537.95,27.27,5.34,510.7,542.21,510.7,510.68,0.0,
6,124,HSI2SI,恒指2倍短仓指数,110.1,5.2,4.96,105.21,110.92,105.14,104.9,0.0,
7,124,HSTECHS,恒生科指短仓指数,441.54,17.23,4.06,424.68,443.49,424.68,424.31,0.0,
8,124,HSCEFS,恒生中国企业期货短仓指数,14976.23,413.1,2.84,14608.38,15026.53,14559.64,14563.13,0.0,
9,124,HSCEISI,恒生国企短仓指数,548.33,14.29,2.68,534.08,550.57,534.08,534.04,0.0,
10,124,HSISI,恒指短仓指数,3587.56,86.99,2.49,3505.93,3601.29,3504.86,3500.57,0.0,
11,124,HSU,恒生公用事业指数,36611.34,-106.08,-0.29,36705.53,36831.78,36538.47,36717.42,61530083.0,1370249152.0
12,124,HSUGTRI,恒生公用事业分类指数(GTR),166729.89,-483.06,-0.29,167158.85,167733.76,166398.03,167212.95,0.0,1370249152.0
13,124,HSUNTRI,恒生公用事业分类指数(NTR),166418.08,-482.16,-0.29,166846.24,167420.07,166086.85,166900.24,0.0,1370249152.0
14,124,HSCAB,恒生A股银行指数,3381.0,-10.14,-0.3,3387.27,3422.6,3368.86,3391.14,0.0,38502025728.0
15,125,CESG10,中华博彩指数,2991.26,-10.79,-0.36,2997.47,3029.17,2974.08,3002.05,0.0,1073191776.0
16,124,HSMBI,恒生中国内地银行指数,3853.23,-16.66,-0.43,3874.78,3907.16,3835.61,3869.89,0.0,8732287744.0
17,124,HSCITC,恒生电讯业指数,1776.63,-9.22,-0.52,1785.27,1791.1,1773.52,1785.85,244109608.0,3187929904.0
