序号,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,总市值,市盈率,成交量,成交额,振幅,换手率,代码
1,Praxis Precision Medicines Inc,162.71,105.36,183.71,158.29,205.89,156.41,57.35,3424977975.0,-13.64,13741857.0,2274505840.0,86.28,65.28,105.PRAX
2,Auddia Inc Series A Wt,0.045,0.029,180.63,0.022,0.05,0.022,0.016,,,123083.0,3856.0,175.0,,105.AUUDW
3,rYojbaba Co Ltd,4.76,2.59,119.35,4.495,5.35,3.53,2.17,53550000.0,40.19,28790359.0,150859606.0,83.87,255.91,105.RYOJ
4,INVO Fertility Inc,1.4,0.646,85.68,0.754,2.11,0.72,0.754,7873617.0,-0.28,223013057.0,347023344.0,184.34,3965.37,105.IVF
5,Sonder Holdings Inc,1.65,0.73,79.35,1.34,1.76,1.08,0.92,21958994.0,-0.07,37684455.0,55931081.0,73.9,283.16,105.SOND
6,冠科美博-A,31.98,12.48,64.0,20.0,34.9,19.881,19.5,68633909.0,-1.27,273376.0,7655586.0,77.02,12.74,105.APLM
7,NewGenIvf Group Ltd Wt,0.029,0.011,58.33,0.018,0.032,0.018,0.018,,,214858.0,5712.0,77.78,,105.NIVFW
8,NextPlat Corp Wt,0.1,0.036,55.52,0.094,0.1,0.094,0.064,,,4000.0,397.0,9.33,,105.NXPLW
9,Rafael Holdings Inc Wt,0.139,0.049,54.89,0.14,0.156,0.084,0.09,,,7593.0,885.0,80.0,,106.RFL_WS
10,极星汽车(权证),0.315,0.111,54.39,0.34,0.483,0.302,0.204,,,43786487.0,18512168.0,89.06,,105.PSNYW
11,Quantum-Si Inc Wt,0.8,0.266,49.8,0.6,0.8,0.552,0.534,,,491512.0,328162.0,46.39,,105.QSIAW
12,i-80 Gold Corp Wt,0.646,0.205,46.56,0.6,0.716,0.535,0.441,,,269950.0,167967.0,41.0,,107.IAUX_WS
13,Stran & Co Inc Wt,0.118,0.037,45.43,0.095,0.118,0.095,0.081,,,1000.0,114.0,28.15,,105.SWAGW
14,NRX Pharmaceuticals Inc Wt,0.14,0.042,42.28,0.13,0.14,0.13,0.098,,,680.0,92.0,10.16,,105.NRXPW
15,Cingulate Inc Wt,0.057,0.017,42.25,0.046,0.06,0.046,0.04,,,120515.0,6394.0,33.75,,105.CINGW
16,Earlyworks Co Ltd ADR,5.1,1.42,38.59,3.96,8.83,3.9,3.68,15557909.0,-8.58,31567435.0,203068759.0,133.97,1034.8,105.ELWS
17,MIRA Pharmaceuticals Inc,1.8,0.48,36.36,2.335,2.45,1.65,1.32,34324767.0,-4.42,114201845.0,260810009.0,60.61,598.88,105.MIRA
18,华钦科技,1.62,0.425,35.56,1.19,1.88,1.13,1.195,45337701.0,-36.79,1477130.0,2314660.0,62.75,5.28,105.CLPS
19,Sonder Holdings Inc Wt,0.016,0.004,35.54,0.016,0.02,0.013,0.012,,,1847163.0,33105.0,57.85,,105.SONDW
20,Femasys Inc,0.745,0.195,35.38,0.556,0.84,0.556,0.551,32059649.0,-1.53,92251214.0,77201900.0,51.53,214.49,105.FEMY
21,Dermata Therapeutics Inc Wt,0.025,0.006,29.32,0.022,0.025,0.022,0.019,,,6364.0,150.0,15.18,,105.DRMAW
